text,label
Magandang umaga sa lahat,0
Kumusta kayo ngayong araw,0
Salamat sa inyong tulong,0
Masayang pagdating ng bagong taon,0
Ang ganda ng bulaklak sa hardin,0
Nag-aaral ako ng Filipino,0
Masarap ang pagkain sa kusina,0
Magandang morning,0
Magandang panahon ngayon,0
Nagbabasa ako ng libro,0
Maligayang kaarawan,0
Ang sarap ng mangga,0
Nood tayo ng pelikula,0
Magandang gabi sa inyo,0
Ang galing ng mga estudyante,0
Masaya sa probinsya,0
Maayos na klase ngayon,0
Magandang simula ng linggo,0
Ang husay ng mga guro,0
Masayang samahan,0
Good morning everyone,0
How are you today,0
Thank you for your help,0
Beautiful flowers in the garden,0
I am studying,0
Nice weather today,0
Reading a good book,0
Happy birthday,0
Delicious mango,0
Watching movies,0
inappropriate tagalog content 1,1
inappropriate content 2,1
bad words example 3,1
inappropriate tagalog 4,1
nsfw content 5,1
inappropriate 6,1
bad content 7,1
inappropriate tagalog 8,1
nsfw example 9,1
inappropriate content 10,1
bad words 11,1
inappropriate 12,1
nsfw tagalog 13,1
inappropriate content 14,1
bad example 15,1
inappropriate 16,1
nsfw content 17,1
bad words tagalog 18,1
inappropriate content 19,1
nsfw example 20,1
